feature,importance
Volume_Lag_3_lags_dup,446
Volume_Lag_1_lags_dup,356
Acceleration,314
Volume_Lag_5_lags_dup,306
Momentum_63D,305
Volume_Lag_10,304
Fred_DGS10_Roll_Std_5D,276
Close_Open_Ratio,273
Volume_Roll_Z_5D,270
Volatility_20D,265
Volatility_21D_Roll_Z_5D,263
Volume_Lag_2,256
High_Low_Diff,256
Fred_DGS10_Roll_Z_5D,255
SlowK,252
Close_Roll_Z_63D,245
Fred_DGS10_Roll_Z_10D,244
Momentum_21D,241
Close_Lag_5_lags_dup,235
Volume_Roll_Z_10D,233
Close_Lag_2,233
Momentum_10D,232
Close_Lag_21,232
Volatility_21D_Roll_Z_10D,223
Close_Prev_Ratio,220
Close_Roll_Z_10D,220
Momentum_5D,220
Fred_DGS10_Roll_Z_21D,219
Fred_DGS10_Roll_Std_10D,218
Volume_Roll_Std_5D,215
Volatility_21D_Roll_Std_10D,212
Close_Lag_1_lags_dup,211
Volatility_21D_Lag_21,211
Volume_Lag_21,210
Fred_DGS10_Roll_Z_63D,207
Close_Roll_Std_5D,205
ADX,203
Close_Lag_3_lags_dup,194
Volatility_5D,193
Close_Lag_10,180
Poly_Close_Volume,174
RSI,173
Volatility_21D_Roll_Std_5D,168
Williams_R,167
SlowD,167
ROC,165
Close_Roll_Z_5D,163
Volume_Lag_5,158
MACD_Signal,157
Close_Roll_Std_10D,152
Poly_Close_Volatility_21D,152
Volatility_21D_Roll_Z_63D,149
Volume_Roll_Mean_21D,147
Fred_DGS10_Roll_Std_21D,147
Volatility_21D_Roll_Z_21D,143
Day_Of_Year,141
BB_Lower,138
ATR,137
Volatility_21D_Roll_Std_21D,137
Close_Roll_Z_21D,134
Volume_Roll_Std_21D,132
Volume_Roll_Mean_10D,132
Volume_Roll_Mean_5D,132
Fred_DGS10_Roll_Std_63D,131
Volatility_10D,127
MACD_Hist,124
Volatility_21D_Lag_10,123
Volume_Lag_3,119
MACD,119
Volatility_21D_Lag_5,117
Close_vs_SMA20,115
Volatility_21D_Roll_Std_63D,114
Volume_Lag_1,114
Close_Roll_Mean_5D,113
Volume_Roll_Z_21D,112
Volume_Roll_Std_63D,111
Volume_Roll_Std_10D,105
CCI,105
Poly_Volume_Volatility_21D,103
Volatility_63D,102
Volume_Roll_Mean_63D,100
Volume_Roll_Z_63D,96
Compound_Lag_3,95
Poly_Volume,91
Close_Roll_Std_63D,91
OBV,90
Close_Roll_Mean_10D,86
Close_Roll_Mean_21D,81
Compound_Lag_5,80
Chaikin_AD,79
Volatility_21D_Roll_Mean_21D,78
Interest,77
Fred_DGS10_Lag_10,70
Day_Of_Week,68
Close_Roll_Std_21D,68
Fred_DGS10_Lag_21,68
Fred_DGS10,64
Volatility_21D_Roll_Mean_10D,64
SMA_50,63
Volatility_21D_Roll_Mean_63D,63
Neutral,60
Week_Of_Year,58
Close_Roll_Mean_63D,57
Negative,54
BB_Upper,52
Volatility_21D_Lag_3,52
Close_Lag_5,51
Fred_DGS10_Roll_Mean_63D,51
Fred_DGS10_Lag_2,49
Close,48
Fred_DGS10_Lag_1,47
Poly_Volatility_21D,46
Poly_Volumepow2,45
Open,41
Fred_DGS10_Lag_3,40
Interest_Lag_1,38
Close_Lag_3,38
Vol_x_Volatility21D,37
Positive,37
Fred_DGS10_Lag_5,37
Volatility_21D_Lag_2,36
Fred_DGS10_Roll_Mean_21D,36
Volatility_21D_Roll_Mean_5D,34
Close_Lag_1,33
Compound_Lag_1,30
Compound,30
Interest_Lag_5,30
BB_Middle,29
Volatility_21D,25
Poly_Volatility_21Dpow2,24
Fred_DGS10_Roll_Mean_10D,24
Volume,23
Day_Of_Week_time_dup,21
Fred_UNRATE_Lag_10,20
Month_Of_Year,19
FEDFUNDS,19
Fred_UNRATE_Lag_21,19
Fred_DGS10_Roll_Mean_5D,19
Fred_UNRATE,19
FEDFUNDS_Lag_3,17
Interest_Lag_3,16
Volatility_21D_Lag_1,16
EMA_5,14
Count,14
Fred_UNRATE_Lag_5,14
FEDFUNDS_Lag_1,12
Low,12
Fred_UNRATE_Lag_3,11
FEDFUNDS_Lag_5,11
EMA_20,11
SMA_20,11
Fred_CPI_Lag_10,10
SMA_5,9
Fred_UNRATE_Lag_2,9
High,9
Fred_CPI_Lag_21,7
Poly_Close,7
Fred_UNRATE_Lag_1,5
Fred_CPI,4
Poly_Closepow2,3
Fred_CPI_Lag_5,2
Fred_CPI_Lag_1,2
Fred_CPI_Lag_2,1
Fred_CPI_Lag_3,1
Dividends,0
Quarter,0
Stock Splits,0
